date,title,source,summary,url
2026-04-06,アットホーム、スマート契約に電磁的交付の同意取得機能を追加,R.E.port,不動産契約業務のオンライン化に関する中立メディア記事。売買・賃貸契約の電子化動向として掲載。,https://www.re-port.net/article/news/0000081522/
2026-02-27,分譲マンション管理、DXの活用事例共有するフォーラム,R.E.port,不動産テック協会のマンション管理DX部会によるフォーラム記事。管理・運用領域でのDX活用事例を追う材料。,https://www.re-port.net/article/news/0000081184/
2026-02-10,不動産ID活用の社会実装に向けた検討が進む,国土交通省,不動産情報の一意識別とデータ連携に関する政策動向。物件情報管理やデータ基盤サービスの背景になる。,https://www.mlit.go.jp/tochi_fudousan_kensetsugyo/tochi_fudousan_kensetsugyo_tk5_000001_00005.html
2026-01-05,2025年のPropTech投資は商業不動産の基盤領域へ,Commercial Observer,グローバルPropTech投資が、資本・建設・運用・AIなど法人向け基盤領域へ集中しているという分析。,https://commercialobserver.com/2026/01/proptech-funding-2025/
2026-01-06,GAテク、不動産投資のAI診断を開始,R.E.port,不動産投資判断にAI診断を組み込む動き。購入・運用領域でのAI活用動向として掲載。,https://www.re-port.net/article/news/0000080738/
2025-12-24,生成AI活用した価格査定サービス／ウィル,R.E.port,生成AIを使った不動産価格査定サービスの記事。売却価格査定や査定根拠説明の高度化を見る材料。,https://www.re-port.net/article/news/0000080698/
2025-12-20,Construction Cafeが建設関連の市場動向・コラムを継続掲載,Construction Cafe,ベーシックインフォメーションセンターが収集・分析した建設業界データや市場動向を扱うライブラリー。,https://www.bic-net.jp/construction_cafe/
2025-12-12,オフィス価格をAI算出するサービスの提供開始,R.E.port,オフィスビルの価格評価をAIで支援するサービスの記事。事業用不動産の価格妥当性確認・売却判断に関係。,https://www.re-port.net/article/news/0000080590/
2025-12-05,賃貸管理BPO会社がFORWORKSへ社名変更,R.E.port,不動産管理業務の外部化・効率化に関する動き。PM/BM領域の業務再設計の背景ニュース。,https://www.re-port.net/article/news/0000080520/
2025-11-20,宅建業法改正後の電子契約・オンライン重説の運用が広がる,国土交通省,不動産取引の書面電子化やIT重説の制度運用に関する情報。電子契約サービス比較の前提になる。,https://www.mlit.go.jp/totikensangyo/const/sosei_const_tk3_000148.html
